transcript_id	gene
ENSDART00000000004	ENSDARG00000000001_slc35a5
ENSDART00000000005	ENSDARG00000000002_ccdc80
ENSDART00000000042	ENSDARG00000033231_mcm6l
ENSDART00000000069	ENSDARG00000000068_slc9a3r1a
ENSDART00000000070	ENSDARG00000000069_dap
ENSDART00000000160	ENSDARG00000000151_thraa
ENSDART00000000192	ENSDARG00000000183_ptpn4b
ENSDART00000000198	ENSDARG00000000189_sema6e
ENSDART00000000221	ENSDARG00000036830_krt91
ENSDART00000000250	ENSDARG00000000241_slc40a1
ENSDART00000000280	ENSDARG00000076182_stat1b
ENSDART00000000382	ENSDARG00000000370_triob
ENSDART00000000392	ENSDARG00000000380_pde6a
ENSDART00000000486	ENSDARG00000000472_cntn2
ENSDART00000000488	ENSDARG00000000474_tnni1a
ENSDART00000000552	ENSDARG00000000529_ofd1
ENSDART00000000564	ENSDARG00000000540_asdurf
ENSDART00000000566	ENSDARG00000000542_gtf2e1
ENSDART00000000670	ENSDARG00000000631_ptpn4a
ENSDART00000000678	ENSDARG00000000638_opn1mw4
ENSDART00000000693	ENSDARG00000000651_osgepl1
ENSDART00000000698	ENSDARG00000000656_psmb9a
ENSDART00000000744	ENSDARG00000000690_sypl2b
ENSDART00000000831	ENSDARG00000000760_znf511
ENSDART00000000876	ENSDARG00000000796_nr4a1
ENSDART00000000877	ENSDARG00000044279_opn1mw3
ENSDART00000000887	ENSDARG00000000804_rassf6
ENSDART00000000948	ENSDARG00000024032_coch
ENSDART00000000992	ENSDARG00000000887_zgc:56699
ENSDART00000001092	ENSDARG00000000966_ncor2
ENSDART00000001102	ENSDARG00000001414_mctp2a
ENSDART00000001159	ENSDARG00000004115_mgat4b
ENSDART00000001201	ENSDARG00000001057_bysl
ENSDART00000001253	ENSDARG00000074425_si:busm1-57f23.1
ENSDART00000001313	ENSDARG00000001154_rimbp2
ENSDART00000001318	ENSDARG00000033450_nkap
ENSDART00000001331	ENSDARG00000001169_hsd17b8
ENSDART00000001359	ENSDARG00000031885_psmb12
ENSDART00000001376	ENSDARG00000001210_arl14ep
ENSDART00000001424	ENSDARG00000001249_pcgf1
ENSDART00000001444	ENSDARG00000001313_g2e3
ENSDART00000001649	ENSDARG00000001431_actn3b
ENSDART00000001678	ENSDARG00000001452_adam8a
ENSDART00000001691	ENSDARG00000001463_tdh2
ENSDART00000001737	ENSDARG00000001498_skap1
ENSDART00000001795	ENSDARG00000001549_sp3a
ENSDART00000001803	ENSDARG00000001557_tomm34
ENSDART00000001821	ENSDARG00000001572_prf1.3
ENSDART00000001830	ENSDARG00000001578_echs1
ENSDART00000001861	ENSDARG00000000730_slc6a22.1
ENSDART00000001907	ENSDARG00000045051_slc16a3
ENSDART00000001930	ENSDARG00000001656_psmb13a
ENSDART00000002027	ENSDARG00000001733_gulp1a
ENSDART00000002029	ENSDARG00000001734_fkbp8
ENSDART00000002046	ENSDARG00000097008_opn1mw1
ENSDART00000002053	ENSDARG00000000476_pms1
ENSDART00000002055	ENSDARG00000078760_cacna2d3
ENSDART00000002075	ENSDARG00000008491_si:ch211-107o10.3
ENSDART00000002078	ENSDARG00000016854_neurod2
ENSDART00000002094	ENSDARG00000011326_ankrd45
ENSDART00000002095	ENSDARG00000018956_tmem39b
ENSDART00000002096	ENSDARG00000013221_pde4ca
ENSDART00000002118	ENSDARG00000040002_pnpla7b
ENSDART00000002128	ENSDARG00000009215_zgc:112437
ENSDART00000002164	ENSDARG00000008433_unc45b
ENSDART00000002166	ENSDARG00000043236_ccna1
ENSDART00000002186	ENSDARG00000006074_uck2a
ENSDART00000002217	ENSDARG00000013134_zmp:0000000545
ENSDART00000002221	ENSDARG00000027620_bco2l
ENSDART00000002241	ENSDARG00000019588_chico
ENSDART00000002242	ENSDARG00000095751_leg1.2
