ENSMUST00000000001	Gnai3__chr3
ENSMUST00000000003	Pbsn__chrX
ENSMUST00000000010	Hoxb9__chr11
ENSMUST00000000028	Cdc45__chr16
ENSMUST00000000033	Igf2__chr7
ENSMUST00000000049	Apoh__chr11
ENSMUST00000000058	Cav2__chr6
ENSMUST00000000080	Klf6__chr13
ENSMUST00000000087	Scmh1__chr4
ENSMUST00000000090	Cox5a__chr9
ENSMUST00000000094	Dlgap4__chr2
ENSMUST00000000095	Tbx2__chr11
ENSMUST00000000096	Tbx4__chr11
ENSMUST00000000109	Cntn1__chr15
ENSMUST00000000122	Ngfr__chr11
ENSMUST00000000127	Wnt3__chr11
ENSMUST00000000128	Wnt9a__chr11
ENSMUST00000000129	Fer__chr17
ENSMUST00000000137	Actr2__chr11
ENSMUST00000000145	Acsl6__chr11
ENSMUST00000000153	Gna12__chr5
ENSMUST00000000161	Itgb2l__chr16
ENSMUST00000000163	Igsf5__chr16
ENSMUST00000000171	Pih1d2__chr9
ENSMUST00000000175	Sdhd__chr9
ENSMUST00000000186	Fgf23__chr6
ENSMUST00000000187	Fgf6__chr6
ENSMUST00000000188	Ccnd2__chr6
ENSMUST00000000193	Ccl2__chr11
ENSMUST00000000194	Ccl12__chr11
ENSMUST00000000199	Ncs1__chr2
ENSMUST00000000201	Nalcn__chr14
ENSMUST00000000206	Btbd17__chr11
ENSMUST00000000208	Slfn4__chr11
ENSMUST00000000219	Th__chr7
ENSMUST00000000220	Ins2__chr7
ENSMUST00000000221	Scnn1g__chr7
ENSMUST00000000228	Drp2__chrX
ENSMUST00000000253	Lhx2__chr2
ENSMUST00000000254	Clec2g__chr6
ENSMUST00000000260	Gmpr__chr13
ENSMUST00000000266	Ifi202b__chr1
ENSMUST00000000275	Glra3__chr8
ENSMUST00000000284	Trim25__chr11
ENSMUST00000000285	Dgke__chr11
ENSMUST00000000287	Scpep1__chr11
ENSMUST00000000291	Mnt__chr11
ENSMUST00000000299	Itgb2__chr10
ENSMUST00000000304	Hddc2__chr10
ENSMUST00000000305	Tpd52l1__chr10
ENSMUST00000000310	Pemt__chr11
ENSMUST00000000312	Cdh1__chr8
ENSMUST00000000314	Cdh4__chr2
ENSMUST00000000317	Ckmt1__chr2
ENSMUST00000000326	Bcl6b__chr11
ENSMUST00000000327	Clec10a__chr11
ENSMUST00000000329	Alox12__chr11
ENSMUST00000000335	Comt__chr16
ENSMUST00000000342	Ccl11__chr11
ENSMUST00000000348	Rtca__chr3
ENSMUST00000000349	Dbt__chr3
ENSMUST00000000356	Dazap2__chr15
ENSMUST00000000365	Mcts1__chrX
ENSMUST00000000369	Rem1__chr2
ENSMUST00000000384	Trappc10__chr10
ENSMUST00000000388	Ccm2__chr11
ENSMUST00000000394	Tbrg4__chr11
ENSMUST00000000395	Tmprss2__chr16
ENSMUST00000000402	Fap__chr2
ENSMUST00000000412	Egfl6__chrX
ENSMUST00000000421	Tssk3__chr4
ENSMUST00000000430	Galnt1__chr18
ENSMUST00000000445	Myf5__chr10
ENSMUST00000000449	Mkrn2__chr6
ENSMUST00000000450	Pparg__chr6
ENSMUST00000000451	Raf1__chr6
ENSMUST00000000466	Plin2__chr4
ENSMUST00000000476	Pdgfra__chr5
ENSMUST00000000500	Pdgfb__chr15
ENSMUST00000000505	Mcm7__chr5
ENSMUST00000000514	Serpinb8__chr1
ENSMUST00000000542	Acvrl1__chr15
ENSMUST00000000543	Grasp__chr15
ENSMUST00000000544	Acvr1b__chr15
ENSMUST00000000572	Gabra2__chr5
ENSMUST00000000573	Ovgp1__chr3
ENSMUST00000000574	Adora3__chr3
ENSMUST00000000579	Sox9__chr11
ENSMUST00000000590	Rdx__chr9
ENSMUST00000000594	C1d__chr11
ENSMUST00000000608	Gm2a__chr11
ENSMUST00000000619	Clcn4-2__chr7
ENSMUST00000000631	Grm6__chr11
ENSMUST00000000632	Zfp354c__chr11
ENSMUST00000000641	Sema4f__chr6
ENSMUST00000000642	Hk2__chr6
ENSMUST00000000645	Myo18a__chr11
ENSMUST00000000646	Sez6__chr11
ENSMUST00000000674	St7__chr6
ENSMUST00000000687	Haao__chr17
ENSMUST00000000696	Cd52__chr4
ENSMUST00000000704	Hoxb6__chr11
ENSMUST00000000707	Loxl3__chr6
ENSMUST00000000717	Tcl1b5__chr12
ENSMUST00000000718	Tcl1b4__chr12
ENSMUST00000000724	Kat2b__chr17
ENSMUST00000000727	Rab5b__chr10
ENSMUST00000000746	Dnmt3l__chr10
ENSMUST00000000755	Sult5a1__chr8
ENSMUST00000000756	Rpl13__chr8
ENSMUST00000000759	Chmp1a__chr8
ENSMUST00000000767	Rpa1__chr11
ENSMUST00000000769	Serpinf1__chr11
ENSMUST00000000776	Tubgcp3__chr8
ENSMUST00000000783	Oprm1__chr10
ENSMUST00000000793	Polr3d__chr14
ENSMUST00000000804	Ddx3x__chrX
ENSMUST00000000808	Il12rb1__chr8
ENSMUST00000000809	Slc5a5__chr8
ENSMUST00000000811	Kcnn3__chr3
ENSMUST00000000821	Usp32__chr11
ENSMUST00000000828	Txnrd3__chr6
ENSMUST00000000834	Fasl__chr1
ENSMUST00000000844	Tpd52l2__chr2
ENSMUST00000000881	Bcl11a__chr11
ENSMUST00000000889	Il4__chr11
ENSMUST00000000894	E2f1__chr2
ENSMUST00000000895	Necab3__chr2
ENSMUST00000000896	Pxmp4__chr2
ENSMUST00000000901	Dlg3__chrX
ENSMUST00000000904	Gnb1l__chr16
ENSMUST00000000910	Dbh__chr2
ENSMUST00000000924	Mmp11__chr10
ENSMUST00000000925	Smarcb1__chr10
ENSMUST00000000926	Vpreb3__chr10
ENSMUST00000000939	Hip1r__chr5
ENSMUST00000000940	Nsun5__chr5
ENSMUST00000000958	Top1mt__chr15
ENSMUST00000000964	Hoxa1__chr6
ENSMUST00000000984	Slc7a7__chr14
ENSMUST00000000985	Oxa1l__chr14
ENSMUST00000001002	Heatr6__chr11
ENSMUST00000001008	Ccl3__chr11
ENSMUST00000001009	Wfdc18__chr11
ENSMUST00000001027	Aox1__chr1
ENSMUST00000001036	Tyk2__chr9
ENSMUST00000001040	Icam4__chr9
ENSMUST00000001042	Ilf2__chr3
ENSMUST00000001043	Chtop__chr3
ENSMUST00000001046	S100a4__chr3
ENSMUST00000001047	S100a3__chr3
ENSMUST00000001049	S100a5__chr3
ENSMUST00000001051	S100a6__chr3
ENSMUST00000001055	Icam2__chr11
ENSMUST00000001059	Ern1__chr11
ENSMUST00000001063	Epn2__chr11
ENSMUST00000001079	Sec24b__chr3
ENSMUST00000001080	N4bp3__chr11
ENSMUST00000001081	Rmnd5b__chr11
ENSMUST00000001083	Nhp2__chr11
ENSMUST00000001092	Zfp276__chr8
ENSMUST00000001108	Add1__chr5
ENSMUST00000001109	Mfsd10__chr5
ENSMUST00000001112	Grk4__chr5
ENSMUST00000001115	Grk6__chr13
ENSMUST00000001116	Luzp1__chr4
ENSMUST00000001122	Slc13a2__chr11
ENSMUST00000001125	Kctd10__chr5
ENSMUST00000001126	Slc46a1__chr11
ENSMUST00000001127	Poldip2__chr11
ENSMUST00000001130	Sebox__chr11
ENSMUST00000001147	Col6a1__chr10
ENSMUST00000001148	Pcbp3__chr10
ENSMUST00000001155	Araf__chrX
ENSMUST00000001156	Cfp__chrX
ENSMUST00000001162	Uxt__chrX
ENSMUST00000001166	Cnnm3__chr1
ENSMUST00000001171	Lman2l__chr1
ENSMUST00000001172	Ankrd39__chr1
ENSMUST00000001179	Pcnt__chr10
ENSMUST00000001181	Col6a2__chr10
ENSMUST00000001183	Ftcd__chr10
ENSMUST00000001184	Mxd1__chr6
ENSMUST00000001185	Gmcl1__chr6
ENSMUST00000001186	Snrnp27__chr6
ENSMUST00000001187	Anxa4__chr6
ENSMUST00000001202	Ocrl__chrX
ENSMUST00000001204	Calm1__chr12
ENSMUST00000001226	Sh3bp1__chr15
ENSMUST00000001240	Agpat3__chr10
ENSMUST00000001242	D10Jhu81e__chr10
ENSMUST00000001247	Rnf32__chr5
ENSMUST00000001253	Slc26a4__chr12
ENSMUST00000001254	Slc26a3__chr12
ENSMUST00000001256	Sema6b__chr17
ENSMUST00000001258	Uhrf1__chr17
ENSMUST00000001279	Lsr__chr7
ENSMUST00000001280	Gramd1a__chr7
ENSMUST00000001284	Usf1__chr1
ENSMUST00000001304	Ckb__chr12
ENSMUST00000001319	Efnb2__chr8
ENSMUST00000001326	Sp1__chr15
ENSMUST00000001327	Itgb7__chr15
ENSMUST00000001331	Myg1__chr15
ENSMUST00000001335	Pfdn5__chr15
ENSMUST00000001339	Rrp15__chr1
ENSMUST00000001347	Rnd2__chr11
ENSMUST00000001384	Cnn1__chr9
ENSMUST00000001402	Fbxo9__chr9
ENSMUST00000001412	Ccdc132__chr6
ENSMUST00000001415	Sra1__chr18
ENSMUST00000001416	Hars__chr18
ENSMUST00000001419	Zmat2__chr18
ENSMUST00000001439	Ube2c__chr2
ENSMUST00000001451	Smg5__chr3
ENSMUST00000001452	Cct3__chr3
ENSMUST00000001454	Glmp__chr3
ENSMUST00000001455	Mef2d__chr3
ENSMUST00000001456	Tmem79__chr3
ENSMUST00000001460	Snd1__chr6
ENSMUST00000001479	Kpnb1__chr11
ENSMUST00000001480	Npepps__chr11
ENSMUST00000001484	Tbx21__chr11
ENSMUST00000001485	Mrpl10__chr11
ENSMUST00000001497	Cideb__chr14
ENSMUST00000001507	Cyp51__chr5
ENSMUST00000001513	Tubb6__chr18
ENSMUST00000001520	Afg3l1__chr8
ENSMUST00000001522	Def8__chr8
ENSMUST00000001534	Sost__chr11
ENSMUST00000001536	Nkx2-1__chr12
ENSMUST00000001538	Pax9__chr12
ENSMUST00000001544	Vwa5a__chr9
ENSMUST00000001547	Col1a1__chr11
ENSMUST00000001548	Itga3__chr11
ENSMUST00000001559	Itfg2__chr6
ENSMUST00000001561	Nrip2__chr6
ENSMUST00000001562	Tulp3__chr6
ENSMUST00000001565	Gtf2h4__chr17
ENSMUST00000001566	Tubb5__chr17
ENSMUST00000001569	Flot1__chr17
ENSMUST00000001583	Ell2__chr13
ENSMUST00000001592	Jup__chr11
ENSMUST00000001595	Fkbp10__chr11
ENSMUST00000001599	Klhl10__chr11
ENSMUST00000001608	Mnx1__chr5
ENSMUST00000001611	Nom1__chr5
ENSMUST00000001619	Ergic1__chr17
ENSMUST00000001620	Fxr1__chr3
ENSMUST00000001626	Tnk1__chr11
ENSMUST00000001631	Acap1__chr11
ENSMUST00000001652	Bdkrb2__chr12
ENSMUST00000001667	Csn3__chr5
ENSMUST00000001672	Ifrd1__chr12
ENSMUST00000001675	Stk38l__chr6
ENSMUST00000001699	Hoxc10__chr15
ENSMUST00000001700	Hoxc13__chr15
ENSMUST00000001701	Hoxc11__chr15
ENSMUST00000001703	Hoxc8__chr15
ENSMUST00000001706	Hoxc9__chr15
ENSMUST00000001709	Hoxc5__chr15
ENSMUST00000001711	Hoxc6__chr15
ENSMUST00000001712	Cabin1__chr10
ENSMUST00000001713	Gstt1__chr10
ENSMUST00000001715	Gstt3__chr10
ENSMUST00000001716	Ddt__chr10
ENSMUST00000001720	Tat__chr8
ENSMUST00000001722	Marveld3__chr8
ENSMUST00000001724	Ddx18__chr1
ENSMUST00000001757	Eef1e1__chr13
ENSMUST00000001780	Akt1__chr12
ENSMUST00000001790	Cldn15__chr5
ENSMUST00000001792	Il16__chr7
ENSMUST00000001801	Tcirg1__chr19
ENSMUST00000001802	Naglu__chr11
ENSMUST00000001806	Coasy__chr11
ENSMUST00000001809	Pabpc1__chr15
ENSMUST00000001812	Smo__chr6
ENSMUST00000001818	Crnkl1__chr2
ENSMUST00000001824	Folh1__chr7
ENSMUST00000001825	Chordc1__chr9
ENSMUST00000001826	Naalad2__chr9
ENSMUST00000001834	Rtcb__chr10
ENSMUST00000001836	Pwp1__chr10
ENSMUST00000001837	Fbxo7__chr10
ENSMUST00000001845	Capns1__chr7
ENSMUST00000001854	Slc7a10__chr7
ENSMUST00000001867	Evx2__chr2
ENSMUST00000001872	Hoxd13__chr2
ENSMUST00000001878	Hoxd12__chr2
ENSMUST00000001882	Folr1__chr7
ENSMUST00000001884	Clpb__chr7
ENSMUST00000001900	Zdhhc4__chr5
ENSMUST00000001920	Aif1l__chr2
ENSMUST00000001921	Cpa3__chr3
ENSMUST00000001927	Ltbp1__chr17
ENSMUST00000001950	Tollip__chr7
ENSMUST00000001963	Ace__chr11
ENSMUST00000001964	Ace__chr11
ENSMUST00000001965	Kcnh6__chr11
ENSMUST00000001974	Trmt1__chr8
ENSMUST00000001975	Nacc1__chr8
ENSMUST00000001984	Ceacam9__chr7
ENSMUST00000001989	Uba1__chrX
ENSMUST00000001995	Vwf__chr6
ENSMUST00000002007	Siae__chr9
ENSMUST00000002008	Vsig2__chr9
ENSMUST00000002011	Esam__chr9
ENSMUST00000002013	Spa17__chr9
ENSMUST00000002025	Tktl2__chr8
ENSMUST00000002029	Emd__chrX
ENSMUST00000002043	Ccdc47__chr11
ENSMUST00000002044	Map3k3__chr11
ENSMUST00000002048	Taco1__chr11
ENSMUST00000002053	Npas1__chr7
ENSMUST00000002063	Ap4e1__chr2
ENSMUST00000002064	Blvra__chr2
ENSMUST00000002073	Ltbp2__chr12
ENSMUST00000002079	Plxnb3__chrX
ENSMUST00000002080	Pdzd4__chrX
ENSMUST00000002081	Srpk3__chrX
ENSMUST00000002084	Abcd1__chrX
ENSMUST00000002087	Pnck__chrX
ENSMUST00000002090	Ssr4__chrX
ENSMUST00000002091	Bcap31__chrX
ENSMUST00000002095	Kmt2a__chr9
ENSMUST00000002099	Ift46__chr9
ENSMUST00000002100	Tmem25__chr9
ENSMUST00000002101	Cd3g__chr9
ENSMUST00000002112	Trappc6a__chr7
ENSMUST00000002121	Supt6__chr11
ENSMUST00000002127	Unc119__chr11
ENSMUST00000002128	Rab34__chr11
ENSMUST00000002133	Sdf2__chr11
ENSMUST00000002145	Hsf2bp__chr17
ENSMUST00000002152	Bbc3__chr7
ENSMUST00000002171	Psmc3__chr2
ENSMUST00000002172	Acp2__chr2
ENSMUST00000002176	Celf2__chr2
ENSMUST00000002177	Nr1h3__chr2
ENSMUST00000002180	Spi1__chr2
ENSMUST00000002198	Sf3a1__chr11
ENSMUST00000002259	Clgn__chr8
ENSMUST00000002274	Napsa__chr7
ENSMUST00000002275	Vrk3__chr7
ENSMUST00000002280	Smg9__chr7
ENSMUST00000002284	Plaur__chr7
ENSMUST00000002289	Uchl3__chr14
ENSMUST00000002291	Paxip1__chr5
ENSMUST00000002292	Rmnd5a__chr6
ENSMUST00000002297	Mov10__chr3
ENSMUST00000002298	Ppm1j__chr3
ENSMUST00000002303	Rhoc__chr3
ENSMUST00000002305	Kdm7a__chr6
ENSMUST00000002310	Prr27__chr5
ENSMUST00000002318	Zfp523__chr17
ENSMUST00000002320	Ppard__chr17
ENSMUST00000002327	Def6__chr17
ENSMUST00000002336	Zim1__chr7
ENSMUST00000002344	Metrn__chr17
ENSMUST00000002350	Narfl__chr17
ENSMUST00000002360	Angptl4__chr17
ENSMUST00000002368	Dbf4__chr5
ENSMUST00000002379	Cd320__chr17
ENSMUST00000002389	Tgm1__chr14
ENSMUST00000002391	Tm9sf1__chr14
ENSMUST00000002395	Rec8__chr14
ENSMUST00000002397	Gmpr2__chr14
ENSMUST00000002398	Adcy4__chr14
ENSMUST00000002400	Mdp1__chr14
ENSMUST00000002403	Dhrs1__chr14
ENSMUST00000002412	Ncan__chr8
ENSMUST00000002413	Tmem161a__chr8
ENSMUST00000002418	2310045N01Rik__chr8
ENSMUST00000002436	Snx9__chr17
ENSMUST00000002444	Rfx2__chr17
ENSMUST00000002445	Ranbp3__chr17
ENSMUST00000002452	Ndufa11__chr17
ENSMUST00000002456	Nt5c1b__chr12
ENSMUST00000002457	Bmp8b__chr4
ENSMUST00000002466	Nr2f6__chr8
ENSMUST00000002469	Ocel1__chr8
ENSMUST00000002473	Babam1__chr8
ENSMUST00000002487	Braf__chr6
ENSMUST00000002490	Ndufb2__chr6
ENSMUST00000002495	Meis3__chr7
ENSMUST00000002502	Hltf__chr3
ENSMUST00000002518	Aes__chr10
ENSMUST00000002529	Prpf6__chr2
ENSMUST00000002532	Rgs19__chr2
ENSMUST00000002533	Rgs20__chr1
ENSMUST00000002549	Abhd3__chr18
ENSMUST00000002551	Snrpd1__chr18
ENSMUST00000002572	Slc9a3r2__chr17
ENSMUST00000002588	Tiam1__chr16
ENSMUST00000002599	Puf60__chr15
ENSMUST00000002603	Scrib__chr15
ENSMUST00000002625	Uck1__chr2
ENSMUST00000002640	Scin__chr12
ENSMUST00000002655	Mien1__chr11
ENSMUST00000002663	Pon1__chr6
ENSMUST00000002677	Axl__chr7
ENSMUST00000002678	Tgfb1__chr7
ENSMUST00000002683	Ccdc97__chr7
ENSMUST00000002699	Akap8__chr17
ENSMUST00000002708	Shh__chr5
ENSMUST00000002710	Pdcd2l__chr7
ENSMUST00000002733	Gtf2f1__chr17
ENSMUST00000002735	Clpp__chr17
ENSMUST00000002737	Alkbh7__chr17
ENSMUST00000002740	Pspn__chr17
ENSMUST00000002756	Med6__chr12
ENSMUST00000002757	Cox16__chr12
ENSMUST00000002765	Prkd1__chr12
ENSMUST00000002790	Cse1l__chr2
ENSMUST00000002805	Naa20__chr2
ENSMUST00000002808	Prkra__chr2
ENSMUST00000002809	Fkbp7__chr2
ENSMUST00000002817	Camk2b__chr11
ENSMUST00000002818	Ykt6__chr11
ENSMUST00000002825	Baz1b__chr5
ENSMUST00000002837	Tmed5__chr5
ENSMUST00000002839	Ppp2r5d__chr17
ENSMUST00000002840	Pex6__chr17
ENSMUST00000002844	Mrpl2__chr17
ENSMUST00000002845	Mea1__chr17
ENSMUST00000002846	Gnmt__chr17
ENSMUST00000002848	Grin2d__chr7
ENSMUST00000002850	Abcc6__chr7
ENSMUST00000002855	Kdelr1__chr7
ENSMUST00000002874	Ggct__chr6
ENSMUST00000002880	Btbd6__chr12
ENSMUST00000002881	Nudt14__chr12
ENSMUST00000002883	Sfrp4__chr13
ENSMUST00000002885	Epdr1__chr13
ENSMUST00000002889	Flii__chr11
ENSMUST00000002891	Top3a__chr11
ENSMUST00000002902	Qtrt1__chr9
ENSMUST00000002908	Plin4__chr17
ENSMUST00000002911	Hdgfrp2__chr17
ENSMUST00000002914	Chaf1a__chr17
ENSMUST00000002923	Adprh__chr16
ENSMUST00000002924	Tmem39a__chr16
